price,make,model,year,body_type,fuel_type,engine_volume,mileage,engine_cylinders,transmission,drivetrain,color,car_age,Engine Displacement,Miles per year
18189,Toyota,Prius,2012.0,Sedan,Petrol,1.8,108740.0,4.0,Automatic,FWD,Silver,14.0,7.2,12500.0
21953,Toyota,Camry,2012.0,Sedan,Petrol,2.5,121201.0,4.0,Automatic,FWD,Black,14.0,10.0,13932.357142857143
36065,Hyundai,Santa Fe,2014.0,SUV,Diesel,2.0,42994.0,4.0,Automatic,FWD,White,12.0,8.0,5765.916666666667
6247,Chevrolet,Cruze,2010.0,Sedan,Petrol,1.8,25335.0,4.0,Automatic,FWD,Black,16.0,7.2,2548.25
16289,Chevrolet,Orlando,2012.0,SUV,Diesel,2.0,106876.0,4.0,Automatic,FWD,Gray,14.0,8.0,12285.714285714286
549,Subaru,Forester,2012.0,SUV,Petrol,2.5,92096.0,4.0,Automatic,AWD,Blue,14.0,10.0,10586.642857142857
27284,Hyundai,Elantra,2016.0,Sedan,Petrol,2.0,65489.0,4.0,Automatic,FWD,Black,10.0,8.0,10539.4
15458,Hyundai,Genesis,2009.0,Coupe,Petrol,2.0,76644.0,4.0,Automatic,FWD,Black,17.0,8.0,7255.64705882353
12858,Ford,Focus,2015.0,Sedan,Petrol,2.0,56670.0,4.0,Automatic,FWD,Blue,11.0,8.0,8290.90909090909
44752,Hyundai,H1,2016.0,Wagon,Diesel,2.5,53438.0,4.0,Automatic,FWD,Gray,10.0,10.0,8600.0
14897,Hyundai,Santa Fe,2010.0,SUV,Diesel,2.0,36638.0,4.0,Automatic,FWD,White,16.0,8.0,3685.125
23521,Toyota,Camry,2013.0,Sedan,Hybrid,2.5,55924.0,4.0,Automatic,FWD,White,13.0,10.0,6923.076923076923
16935,Ford,Fusion,2015.0,Sedan,Petrol,2.0,44400.0,4.0,Automatic,FWD,Black,11.0,8.0,6495.818181818182
51965,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,36981.0,4.0,Automatic,FWD,Blue,10.0,8.0,5951.5
706,Toyota,Camry,2014.0,Sedan,Hybrid,2.5,71652.0,4.0,Automatic,FWD,Gray,12.0,10.0,9609.333333333334
13328,Hyundai,H1,2008.0,Van,Diesel,2.5,46258.0,4.0,Automatic,FWD,Gold,18.0,10.0,4135.777777777777
17876,Nissan,Serena,2012.0,Van,Petrol,2.0,88857.0,4.0,Automatic,FWD,White,14.0,8.0,10214.285714285714
22894,Hyundai,H1,2011.0,Van,Diesel,2.5,77326.0,4.0,Automatic,FWD,Gold,15.0,10.0,8296.266666666666
2901,Honda,Civic,2012.0,Sedan,Hybrid,1.5,90971.0,4.0,Automatic,FWD,White,14.0,6.0,10457.357142857143
22580,Mercedes-Benz,E-Class,2017.0,Sedan,Petrol,2.0,31647.0,4.0,Automatic,RWD,Black,9.0,8.0,5658.888888888889
18817,Toyota,Camry,2018.0,Sedan,Hybrid,2.5,21785.0,4.0,Automatic,FWD,White,8.0,10.0,4382.25
21169,Honda,other,2015.0,SUV,Petrol,1.8,20711.0,4.0,Automatic,AWD,Gray,11.0,7.2,3030.0
1568,Volkswagen,Jetta,2014.0,Sedan,Diesel,2.0,51196.0,4.0,Automatic,FWD,Silver,12.0,8.0,6866.0
17876,Hyundai,Elantra,2013.0,Sedan,Petrol,1.8,73273.0,4.0,Automatic,FWD,Gray,13.0,7.2,9070.76923076923
862,Toyota,Camry,2014.0,Sedan,Hybrid,2.5,81076.0,4.0,Automatic,FWD,White,12.0,10.0,10873.166666666666
21395,Hyundai,H1,2012.0,Wagon,Diesel,2.5,103238.0,4.0,Automatic,FWD,Silver,14.0,10.0,11867.42857142857
40070,Toyota,Aqua,2016.0,Hatchback,Petrol,1.5,16036.0,4.0,Automatic,FWD,Black,10.0,6.0,2580.7
21012,Toyota,Prius,2014.0,Sedan,Hybrid,1.8,99420.0,4.0,Automatic,AWD,White,12.0,7.2,13333.333333333334
15624,Hyundai,Genesis,2011.0,Coupe,Petrol,2.0,66490.0,4.0,Automatic,FWD,Gray,15.0,8.0,7133.666666666667
36110,Volkswagen,Passat,2017.0,Sedan,Petrol,1.8,17230.0,6.0,Automatic,FWD,Silver,9.0,10.8,3080.8888888888887
43880,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,70650.0,4.0,Automatic,FWD,Silver,10.0,8.0,11370.0
17249,Toyota,Camry,2011.0,Sedan,Hybrid,2.5,94449.0,4.0,Automatic,FWD,White,15.0,10.0,10133.333333333334
9408,Toyota,Vitz,2003.0,Wagon,Petrol,1.5,113044.0,4.0,Automatic,AWD,Silver,23.0,6.0,7909.826086956522
44213,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,31227.0,4.0,Automatic,FWD,Red,10.0,8.0,5025.5
56450,Toyota,Camry,2018.0,Sedan,Petrol,2.5,15535.0,4.0,Automatic,FWD,Blue,8.0,10.0,3125.0
1490,Volkswagen,Jetta,2014.0,Wagon,Diesel,2.0,70348.0,4.0,Automatic,FWD,Gray,12.0,8.0,9434.5
25716,Toyota,Camry,2014.0,Sedan,Petrol,2.5,71582.0,4.0,Automatic,FWD,Silver,12.0,10.0,9600.0
14426,Chevrolet,Orlando,2012.0,SUV,Petrol,2.0,82044.0,4.0,Automatic,FWD,White,14.0,8.0,9431.142857142857
10820,Toyota,RAV4,2001.0,SUV,Petrol,2.0,56545.0,4.0,Automatic,AWD,Silver,25.0,8.0,3640.0
41281,Hyundai,Santa Fe,2015.0,SUV,Diesel,2.0,115458.0,4.0,Automatic,FWD,Black,11.0,8.0,16891.909090909092
6586,Lexus,CT 200h,2011.0,Hatchback,Hybrid,1.8,75995.0,4.0,Automatic,FWD,Black,15.0,7.2,8153.466666666666
12544,Toyota,Prius,2007.0,Hatchback,Hybrid,1.5,86992.0,4.0,Automatic,FWD,Beige,19.0,6.0,7368.421052631579
30063,Hyundai,Tucson,2014.0,SUV,Diesel,2.0,74565.0,4.0,Automatic,FWD,White,12.0,8.0,10000.0
36692,Toyota,RAV4,2013.0,SUV,Petrol,2.5,74565.0,4.0,Automatic,FWD,White,13.0,10.0,9230.76923076923
12231,Toyota,Aqua,2014.0,Hatchback,Hybrid,1.5,41011.0,4.0,Automatic,FWD,Silver,12.0,6.0,5500.0
26594,Hyundai,H1,2014.0,Van,Diesel,2.5,111796.0,4.0,Automatic,FWD,Silver,12.0,10.0,14993.166666666666
36065,Toyota,Avalon,2013.0,Sedan,Hybrid,2.5,57291.0,4.0,Automatic,FWD,Beige,13.0,10.0,7092.307692307692
14000,Hyundai,Elantra,2013.0,Sedan,Petrol,1.8,31069.0,4.0,Automatic,FWD,Gray,13.0,7.2,3846.153846153846
7527,Volkswagen,Passat,2013.0,Sedan,Diesel,2.0,82214.0,4.0,Automatic,FWD,Gray,13.0,8.0,10177.692307692309
3450,Toyota,Camry,2017.0,Sedan,Petrol,2.5,37756.0,4.0,Automatic,FWD,White,9.0,10.0,6751.333333333333
22063,Hyundai,Tucson,2010.0,SUV,Diesel,2.0,88399.0,4.0,Automatic,FWD,White,16.0,8.0,8891.5
2901,Honda,Civic,2012.0,Sedan,Hybrid,1.5,90971.0,4.0,Automatic,FWD,White,14.0,6.0,10457.357142857143
16900,Honda,Fit,2013.0,Hatchback,Petrol,1.5,43496.0,4.0,Automatic,FWD,Blue,13.0,6.0,5384.615384615385
18189,Nissan,Rogue,2010.0,SUV,Petrol,2.5,75808.0,4.0,Automatic,AWD,Silver,16.0,10.0,7625.0
5331,Mazda,MPV,2000.0,Van,Petrol,2.5,78915.0,4.0,Automatic,FWD,Green,26.0,10.0,4884.615384615385
42651,Mercedes-Benz,GLA,2017.0,SUV,Petrol,2.0,27959.0,4.0,Automatic,AWD,Black,9.0,8.0,4999.444444444444
15524,Toyota,Prius,2012.0,Hatchback,Hybrid,1.8,76009.0,4.0,Automatic,FWD,Red,14.0,7.2,8737.42857142857
862,Ford,Fusion,2014.0,Sedan,Hybrid,2.0,115605.0,4.0,Automatic,FWD,Black,12.0,8.0,15504.0
14426,Hyundai,Sonata,2014.0,Sedan,Petrol,2.0,105027.0,4.0,Automatic,FWD,White,12.0,8.0,14085.333333333334
22580,Toyota,Camry,2013.0,Sedan,Petrol,2.5,97348.0,4.0,Automatic,FWD,Black,13.0,10.0,12051.23076923077
1333,Ford,Fusion,2016.0,Sedan,Petrol,2.5,96220.0,4.0,Automatic,FWD,Black,10.0,10.0,15485.0
68223,Hyundai,H1,2018.0,Wagon,Diesel,2.5,17030.0,4.0,Automatic,FWD,Gold,8.0,10.0,3425.75
7683,Nissan,Tiida,2006.0,Sedan,Petrol,1.8,124275.0,4.0,Automatic,FWD,Silver,20.0,7.2,10000.0
49858,Hyundai,Tucson,2019.0,SUV,Diesel,2.0,29826.0,4.0,Automatic,FWD,White,7.0,8.0,6857.142857142857
51075,Hyundai,Tucson,2017.0,SUV,Diesel,2.0,25352.0,4.0,Automatic,FWD,White,9.0,8.0,4533.333333333333
15241,Hyundai,Genesis,2011.0,Coupe,Petrol,2.0,73007.0,4.0,Automatic,FWD,Gray,15.0,8.0,7832.8
2587,Ford,Fusion,2015.0,Sedan,Hybrid,2.0,55175.0,4.0,Automatic,FWD,Black,11.0,8.0,8072.272727272727
15524,Hyundai,H1,2008.0,Van,Diesel,2.5,35275.0,4.0,Automatic,FWD,Silver,18.0,10.0,3153.8333333333335
4861,Toyota,Camry,2013.0,Sedan,Hybrid,2.5,85042.0,4.0,Automatic,FWD,Blue,13.0,10.0,10527.76923076923
549,Hyundai,Sonata,2017.0,Sedan,Hybrid,2.0,66728.0,4.0,Automatic,FWD,Silver,9.0,8.0,11931.888888888889
34497,Toyota,RAV4,2013.0,SUV,Petrol,2.5,40607.0,4.0,Automatic,FWD,White,13.0,10.0,5026.923076923077
4924,Chevrolet,Captiva,2007.0,SUV,Diesel,2.0,114285.0,4.0,Automatic,FWD,Silver,19.0,8.0,9680.157894736842
43576,Hyundai,H1,2016.0,Wagon,Diesel,2.5,60354.0,4.0,Automatic,FWD,Silver,10.0,10.0,9712.9
7840,Mercedes-Benz,C-Class,2001.0,Sedan,Petrol,2.0,86992.0,4.0,Manual,RWD,Black,25.0,8.0,5600.0
28225,Toyota,C-HR,2018.0,SUV,Petrol,2.0,14913.0,4.0,Automatic,FWD,Gray,8.0,8.0,3000.0
4861,Ford,Fusion,2015.0,Sedan,Hybrid,2.0,92404.0,4.0,Automatic,FWD,Red,11.0,8.0,13519.0
39201,Toyota,Camry,2015.0,Sedan,Hybrid,2.5,21748.0,4.0,Automatic,FWD,Gray,11.0,10.0,3181.818181818182
46414,Toyota,Avalon,2015.0,Sedan,Hybrid,2.5,39548.0,4.0,Automatic,FWD,White,11.0,10.0,5785.909090909091
1176,Mitsubishi,Colt,2014.0,Hatchback,Petrol,2.0,84901.0,4.0,Automatic,FWD,Silver,12.0,8.0,11386.166666666666
12231,Hyundai,Elantra,2013.0,Coupe,Petrol,1.8,47846.0,6.0,Manual,FWD,Beige,13.0,10.8,5923.076923076923
5802,Toyota,Prius,2007.0,Hatchback,Hybrid,1.5,86992.0,4.0,Automatic,FWD,Green,19.0,6.0,7368.421052631579
1882,Toyota,Prius,2017.0,Sedan,Hybrid,1.8,29622.0,4.0,Automatic,FWD,White,9.0,7.2,5296.888888888889
27284,Toyota,Camry,2014.0,Sedan,Petrol,2.5,32312.0,4.0,Automatic,FWD,Black,12.0,10.0,4333.333333333333
21639,Subaru,Forester,2016.0,SUV,Petrol,2.5,21127.0,4.0,Automatic,AWD,White,10.0,10.0,3400.0
7840,Mercedes-Benz,E-Class,1998.0,Sedan,Petrol,2.0,111849.0,4.0,Manual,RWD,Black,28.0,8.0,6428.678571428572
24198,Hyundai,Tucson,2013.0,SUV,Diesel,2.0,77051.0,4.0,Automatic,FWD,Silver,13.0,8.0,9538.461538461539
25365,Honda,Fit,2013.0,Hatchback,Petrol,1.5,21551.0,4.0,Automatic,FWD,Gray,13.0,6.0,2667.846153846154
17249,Toyota,Prius,2012.0,Sedan,Hybrid,1.8,13919.0,4.0,Automatic,FWD,White,14.0,7.2,1600.0
12720,Chevrolet,Cruze,2011.0,Sedan,Petrol,1.8,84357.0,4.0,Automatic,FWD,Gray,15.0,7.2,9050.6
26372,Hyundai,Tucson,2013.0,SUV,Diesel,2.0,74897.0,4.0,Automatic,FWD,Silver,13.0,8.0,9271.846153846154
627,Toyota,C-HR,2019.0,SUV,Petrol,2.0,15124.0,4.0,Automatic,FWD,Blue,7.0,8.0,3477.0
9565,Hyundai,Sonata,2015.0,Sedan,Petrol,2.0,26098.0,4.0,Automatic,FWD,Orange,11.0,8.0,3818.181818181818
24302,Chevrolet,Malibu,2015.0,Sedan,Diesel,2.0,37667.0,4.0,Automatic,FWD,Black,11.0,8.0,5510.727272727273
1960,Nissan,Altima,2014.0,Sedan,Petrol,2.5,79485.0,4.0,Automatic,FWD,Red,12.0,10.0,10659.833333333334
24148,Toyota,Prius,2013.0,Hatchback,Hybrid,1.8,73322.0,4.0,Automatic,FWD,Blue,13.0,7.2,9076.923076923076
18817,Hyundai,Elantra,2015.0,Sedan,Petrol,1.8,52817.0,4.0,Automatic,FWD,Black,11.0,7.2,7727.272727272727
10349,Lexus,CT 200h,2014.0,Hatchback,Hybrid,1.8,82371.0,4.0,Automatic,FWD,Red,12.0,7.2,11046.916666666666
25089,Toyota,Camry,2013.0,Sedan,Petrol,2.5,82519.0,6.0,Automatic,RWD,Blue,13.0,15.0,10215.384615384615
18669,Hyundai,H1,2011.0,Van,Diesel,2.5,32738.0,4.0,Automatic,FWD,Silver,15.0,10.0,3512.4
10660,Honda,Fit,2014.0,Hatchback,Hybrid,1.5,47551.0,4.0,Automatic,FWD,Blue,12.0,6.0,6377.083333333333
37000,Hyundai,Tucson,2016.0,SUV,Diesel,2.0,49710.0,4.0,Automatic,FWD,Silver,10.0,8.0,8000.0
22649,Hyundai,Tucson,2011.0,SUV,Diesel,2.0,88235.0,4.0,Automatic,FWD,White,15.0,8.0,9466.666666666666
16590,Hyundai,H1,2011.0,Van,Diesel,2.5,26356.0,4.0,Automatic,FWD,White,15.0,10.0,2827.6666666666665
31988,Toyota,Camry,2014.0,Sedan,Hybrid,2.5,31690.0,4.0,Automatic,FWD,Gray,12.0,10.0,4250.0
21012,Toyota,Camry,2015.0,Sedan,Hybrid,2.5,55303.0,4.0,Automatic,FWD,Silver,11.0,10.0,8090.909090909091
10663,Honda,Fit,2014.0,Hatchback,Hybrid,1.5,70837.0,4.0,Automatic,FWD,White,12.0,6.0,9500.0
40769,Toyota,RAV4,2017.0,SUV,Petrol,2.5,47225.0,4.0,Automatic,AWD,Black,9.0,10.0,8444.444444444445
14113,Volkswagen,Jetta,2011.0,Sedan,Petrol,2.5,97431.0,4.0,Automatic,FWD,Blue,15.0,10.0,10453.333333333334
12777,Hyundai,Sonata,2013.0,Sedan,Petrol,2.0,101009.0,4.0,Automatic,FWD,Black,13.0,8.0,12504.461538461539
18817,Toyota,Prius C,2013.0,Hatchback,Hybrid,1.5,80779.0,4.0,Automatic,FWD,Red,13.0,6.0,10000.0
23521,Toyota,Camry,2012.0,Sedan,Hybrid,2.5,51574.0,4.0,Automatic,FWD,Silver,14.0,10.0,5928.571428571428
11133,Toyota,Camry,2014.0,Sedan,Hybrid,2.5,111463.0,4.0,Automatic,FWD,Black,12.0,10.0,14948.416666666666
7495,Chevrolet,Captiva,2008.0,SUV,Diesel,2.0,44420.0,4.0,Automatic,FWD,Black,18.0,8.0,3971.4444444444443
4861,Lexus,CT 200h,2011.0,Hatchback,Hybrid,1.8,59397.0,4.0,Automatic,FWD,White,15.0,7.2,6372.666666666667
13485,Hyundai,Sonata,2015.0,Sedan,Petrol,2.0,44968.0,4.0,Automatic,FWD,Silver,11.0,8.0,6579.0
3000,Subaru,Outback,2003.0,Van,Petrol,2.5,622.0,6.0,Automatic,AWD,Blue,23.0,15.0,43.47826086956522
627,Lexus,CT 200h,2012.0,Hatchback,Hybrid,1.8,119728.0,4.0,Automatic,FWD,White,14.0,7.2,13763.07142857143
14009,Toyota,Aqua,2015.0,Hatchback,Petrol,1.5,85346.0,4.0,Automatic,FWD,Silver,11.0,6.0,12486.363636363636
8311,Mercedes-Benz,GLA,2016.0,SUV,Petrol,2.0,68075.0,4.0,Automatic,FWD,White,10.0,8.0,10955.5
23521,Toyota,Corolla,2014.0,Sedan,Petrol,1.8,24855.0,4.0,Automatic,FWD,Green,12.0,7.2,3333.3333333333335
80911,Hyundai,H1,2019.0,Van,Diesel,2.5,15871.0,4.0,Automatic,FWD,Black,7.0,10.0,3648.714285714286
19369,Hyundai,Genesis,2011.0,Coupe,Petrol,2.0,95475.0,4.0,Automatic,FWD,Red,15.0,8.0,10243.4
25299,Hyundai,Tucson,2012.0,SUV,Diesel,2.0,99420.0,4.0,Automatic,FWD,Gray,14.0,8.0,11428.57142857143
18817,Toyota,Prius,2011.0,Sedan,Hybrid,1.8,99420.0,4.0,Automatic,FWD,Silver,15.0,7.2,10666.666666666666
61499,Hyundai,Tucson,2019.0,SUV,Diesel,2.0,757.0,4.0,Automatic,FWD,Blue,7.0,8.0,173.85714285714286
9879,Toyota,Aqua,2013.0,Hatchback,Hybrid,1.5,85128.0,4.0,Automatic,FWD,Silver,13.0,6.0,10538.461538461539
17249,Toyota,Prius,2011.0,Hatchback,Hybrid,1.8,87614.0,4.0,Automatic,FWD,Gray,15.0,7.2,9400.0
51225,Hyundai,Sonata,2017.0,Sedan,Petrol,2.0,36297.0,4.0,Automatic,FWD,Silver,9.0,8.0,6490.444444444444
49798,Hyundai,Santa Fe,2015.0,SUV,Diesel,2.0,58133.0,4.0,Automatic,FWD,White,11.0,8.0,8505.0
17249,Hyundai,Elantra,2013.0,Sedan,Petrol,1.8,40265.0,4.0,Automatic,FWD,Black,13.0,7.2,4984.615384615385
627,Hyundai,Elantra,2018.0,Sedan,Petrol,2.0,29388.0,4.0,Automatic,FWD,Black,8.0,8.0,5911.75
15367,Toyota,Prius,2009.0,Hatchback,Hybrid,1.8,108119.0,4.0,Automatic,FWD,Blue,17.0,7.2,10235.29411764706
5600,BMW,3 Series,1996.0,Sedan,Petrol,1.8,622.0,4.0,Manual,RWD,Gray,30.0,7.2,33.333333333333336
36827,Hyundai,H1,2017.0,Wagon,Diesel,2.5,85128.0,4.0,Automatic,FWD,White,9.0,10.0,15222.222222222223
18688,Hyundai,Santa Fe,2011.0,SUV,Diesel,2.0,88960.0,4.0,Automatic,FWD,Gray,15.0,8.0,9544.4
11917,Chevrolet,Orlando,2012.0,SUV,Diesel,2.0,49554.0,4.0,Automatic,FWD,Silver,14.0,8.0,5696.357142857143
18817,Toyota,Camry,2018.0,Sedan,Hybrid,2.5,21785.0,4.0,Automatic,FWD,White,8.0,10.0,4382.25
13808,Hyundai,Sonata,2016.0,Sedan,Petrol,2.0,23741.0,4.0,Automatic,FWD,White,10.0,8.0,3820.6
16151,Toyota,Prius,2012.0,Hatchback,Hybrid,1.8,68966.0,4.0,Automatic,FWD,Silver,14.0,7.2,7927.857142857143
22947,Hyundai,Tucson,2010.0,SUV,Diesel,2.0,106469.0,4.0,Automatic,FWD,Gray,16.0,8.0,10709.0
7840,Lexus,CT 200h,2013.0,Hatchback,Hybrid,1.8,41004.0,4.0,Automatic,FWD,Silver,13.0,7.2,5076.076923076923
25089,Toyota,Camry,2014.0,Sedan,Petrol,2.5,77672.0,4.0,Automatic,FWD,Gray,12.0,10.0,10416.666666666666
5488,Toyota,Camry,2014.0,Sedan,Hybrid,2.5,68226.0,4.0,Automatic,FWD,White,12.0,10.0,9149.833333333334
1725,Hyundai,Elantra,2014.0,Sedan,Petrol,1.8,66584.0,4.0,Automatic,FWD,Black,12.0,7.2,8929.583333333334
549,Hyundai,Elantra,2014.0,Sedan,Petrol,1.8,87043.0,4.0,Automatic,FWD,Black,12.0,7.2,11673.5
10976,Toyota,Corolla,2014.0,Sedan,Hybrid,1.5,62138.0,4.0,Automatic,FWD,Silver,12.0,6.0,8333.333333333334
21285,Toyota,Aqua,2013.0,Hatchback,Petrol,1.5,32622.0,4.0,Automatic,FWD,Blue,13.0,6.0,4038.4615384615386
862,Ford,Fusion,2014.0,Sedan,Hybrid,2.0,115605.0,4.0,Automatic,FWD,Black,12.0,8.0,15504.0
19130,Audi,A4,2010.0,Sedan,Petrol,2.0,104391.0,4.0,Automatic,AWD,Silver,16.0,8.0,10500.0
8781,Toyota,Prius C,2012.0,Hatchback,Hybrid,1.5,108740.0,4.0,Automatic,FWD,Black,14.0,6.0,12500.0
706,Toyota,Prius,2013.0,Hatchback,Hybrid,1.8,65448.0,4.0,Automatic,FWD,White,13.0,7.2,8102.153846153846
22580,Toyota,Prius,2014.0,Sedan,Hybrid,1.8,99420.0,4.0,Automatic,FWD,Black,12.0,7.2,13333.333333333334
4861,Toyota,Camry,2013.0,Sedan,Hybrid,2.5,85042.0,4.0,Automatic,FWD,Blue,13.0,10.0,10527.76923076923
1800,Volkswagen,Golf,1998.0,Hatchback,Petrol,1.8,18642.0,4.0,Automatic,FWD,Red,28.0,7.2,1071.4285714285713
4861,Ford,Fusion,2014.0,Sedan,Hybrid,2.0,85332.0,4.0,Automatic,FWD,Silver,12.0,8.0,11444.0
17876,Toyota,C-HR,2019.0,SUV,Petrol,2.0,12408.0,4.0,Automatic,FWD,White,7.0,8.0,2852.5714285714284
15257,Hyundai,Sonata,2011.0,Sedan,Petrol,2.0,101516.0,4.0,Automatic,FWD,Gray,15.0,8.0,10891.6
10976,Nissan,X-Trail,2004.0,SUV,Petrol,2.0,75718.0,4.0,Automatic,AWD,Beige,22.0,8.0,5538.909090909091
22825,Chevrolet,Orlando,2012.0,SUV,Diesel,2.0,85397.0,4.0,Automatic,FWD,White,14.0,8.0,9816.642857142857
16935,Lexus,CT 200h,2015.0,Hatchback,Hybrid,1.8,58999.0,4.0,Automatic,FWD,White,11.0,7.2,8631.727272727272
9565,Honda,Civic,2017.0,Sedan,Petrol,1.5,36215.0,4.0,Automatic,FWD,White,9.0,6.0,6475.777777777777
12544,Volkswagen,Jetta,2010.0,Sedan,Petrol,2.5,68351.0,4.0,Automatic,FWD,Silver,16.0,10.0,6875.0
44247,Hyundai,Santa Fe,2015.0,SUV,Diesel,2.0,95666.0,4.0,Automatic,FWD,White,11.0,8.0,13996.181818181818
11917,Toyota,Prius,2008.0,Sedan,Hybrid,1.8,124275.0,4.0,Automatic,FWD,Gray,18.0,7.2,11111.111111111111
9408,Toyota,Prius,2007.0,Hatchback,Hybrid,1.5,70215.0,4.0,Automatic,FWD,Blue,19.0,6.0,5947.368421052632
23834,Toyota,Corolla,2016.0,Hatchback,Petrol,1.8,63691.0,4.0,Automatic,FWD,White,10.0,7.2,10250.0
22894,Toyota,Camry,2013.0,Sedan,Petrol,2.5,62759.0,4.0,Automatic,FWD,Black,13.0,10.0,7769.2307692307695
18189,Hyundai,Elantra,2012.0,Sedan,Petrol,1.8,84507.0,4.0,Automatic,FWD,Black,14.0,7.2,9714.285714285714
10976,Honda,Fit,2014.0,Hatchback,Hybrid,1.5,75186.0,4.0,Automatic,FWD,Silver,12.0,6.0,10083.333333333334
40769,Toyota,RAV4,2016.0,SUV,Petrol,2.5,61641.0,4.0,Automatic,AWD,Black,10.0,10.0,9920.0
7840,Mercedes-Benz,C-Class,2000.0,Sedan,Petrol,2.0,84507.0,4.0,Automatic,RWD,Blue,26.0,8.0,5230.7692307692305
51746,Toyota,RAV4,2017.0,SUV,Petrol,2.5,21409.0,4.0,Automatic,FWD,Red,9.0,10.0,3828.222222222222
14081,Hyundai,H1,2010.0,Van,Diesel,2.5,77579.0,4.0,Automatic,FWD,White,16.0,10.0,7803.125
706,Audi,A4,2014.0,Sedan,Petrol,2.0,100682.0,4.0,Automatic,FWD,Black,12.0,8.0,13502.666666666666
14740,Toyota,Prius,2011.0,Hatchback,Hybrid,1.8,100041.0,4.0,Automatic,FWD,Blue,15.0,7.2,10733.333333333334
59586,Toyota,RAV4,2017.0,SUV,Petrol,2.5,19884.0,6.0,Automatic,FWD,White,9.0,15.0,3555.5555555555557
18817,Toyota,Prius,2016.0,Sedan,Hybrid,1.8,49710.0,4.0,Automatic,FWD,Gray,10.0,7.2,8000.0
45376,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,68007.0,4.0,Automatic,FWD,White,10.0,8.0,10944.6
15681,Toyota,RAV4,2002.0,SUV,Petrol,2.0,86992.0,4.0,Manual,AWD,Silver,24.0,8.0,5833.333333333333
6800,BMW,5 Series,2000.0,Sedan,Petrol,2.5,97556.0,6.0,Manual,RWD,Blue,26.0,15.0,6038.461538461538
44247,Hyundai,H1,2016.0,Wagon,Diesel,2.5,32207.0,4.0,Automatic,FWD,Gray,10.0,10.0,5183.1
7213,Mitsubishi,Pajero iO,1998.0,SUV,Petrol,1.8,124275.0,4.0,Automatic,AWD,Silver,28.0,7.2,7142.857142857143
