price,make,model,year,body_type,fuel_type,engine_volume,mileage,engine_cylinders,transmission,drivetrain,color
30063,Hyundai,Tucson,2014.0,SUV,Diesel,2.0,74565.0,4.0,Automatic,FWD,White
36692,Toyota,RAV4,2013.0,SUV,Petrol,2.5,74565.0,4.0,Automatic,FWD,White
12231,Toyota,Aqua,2014.0,Hatchback,Hybrid,1.5,41011.0,4.0,Automatic,FWD,Silver
26594,Hyundai,H1,2014.0,Van,Diesel,2.5,111796.0,4.0,Automatic,FWD,Silver
36065,Toyota,Avalon,2013.0,Sedan,Hybrid,2.5,57291.0,4.0,Automatic,FWD,Beige
14000,Hyundai,Elantra,2013.0,Sedan,Petrol,1.8,31069.0,4.0,Automatic,FWD,Gray
7527,Volkswagen,Passat,2013.0,Sedan,Diesel,2.0,82214.0,4.0,Automatic,FWD,Gray
3450,Toyota,Camry,2017.0,Sedan,Petrol,2.5,37756.0,4.0,Automatic,FWD,White
22063,Hyundai,Tucson,2010.0,SUV,Diesel,2.0,88399.0,4.0,Automatic,FWD,White
2901,Honda,Civic,2012.0,Sedan,Hybrid,1.5,90971.0,4.0,Automatic,FWD,White
16900,Honda,Fit,2013.0,Hatchback,Petrol,1.5,43496.0,4.0,Automatic,FWD,Blue
18189,Nissan,Rogue,2010.0,SUV,Petrol,2.5,75808.0,4.0,Automatic,AWD,Silver
5331,Mazda,MPV,2000.0,Van,Petrol,2.5,78915.0,4.0,Automatic,FWD,Green
42651,Mercedes-Benz,GLA,2017.0,SUV,Petrol,2.0,27959.0,4.0,Automatic,AWD,Black
15524,Toyota,Prius,2012.0,Hatchback,Hybrid,1.8,76009.0,4.0,Automatic,FWD,Red
862,Ford,Fusion,2014.0,Sedan,Hybrid,2.0,115605.0,4.0,Automatic,FWD,Black
14426,Hyundai,Sonata,2014.0,Sedan,Petrol,2.0,105027.0,4.0,Automatic,FWD,White
22580,Toyota,Camry,2013.0,Sedan,Petrol,2.5,97348.0,4.0,Automatic,FWD,Black
1333,Ford,Fusion,2016.0,Sedan,Petrol,2.5,96220.0,4.0,Automatic,FWD,Black
68223,Hyundai,H1,2018.0,Wagon,Diesel,2.5,17030.0,4.0,Automatic,FWD,Gold
7683,Nissan,Tiida,2006.0,Sedan,Petrol,1.8,124275.0,4.0,Automatic,FWD,Silver
49858,Hyundai,Tucson,2019.0,SUV,Diesel,2.0,29826.0,4.0,Automatic,FWD,White
51075,Hyundai,Tucson,2017.0,SUV,Diesel,2.0,25352.0,4.0,Automatic,FWD,White
15241,Hyundai,Genesis,2011.0,Coupe,Petrol,2.0,73007.0,4.0,Automatic,FWD,Gray
2587,Ford,Fusion,2015.0,Sedan,Hybrid,2.0,55175.0,4.0,Automatic,FWD,Black
15524,Hyundai,H1,2008.0,Van,Diesel,2.5,35275.0,4.0,Automatic,FWD,Silver
4861,Toyota,Camry,2013.0,Sedan,Hybrid,2.5,85042.0,4.0,Automatic,FWD,Blue
549,Hyundai,Sonata,2017.0,Sedan,Hybrid,2.0,66728.0,4.0,Automatic,FWD,Silver
34497,Toyota,RAV4,2013.0,SUV,Petrol,2.5,40607.0,4.0,Automatic,FWD,White
4924,Chevrolet,Captiva,2007.0,SUV,Diesel,2.0,114285.0,4.0,Automatic,FWD,Silver
43576,Hyundai,H1,2016.0,Wagon,Diesel,2.5,60354.0,4.0,Automatic,FWD,Silver
7840,Mercedes-Benz,C-Class,2001.0,Sedan,Petrol,2.0,86992.0,4.0,Manual,RWD,Black
28225,Toyota,C-HR,2018.0,SUV,Petrol,2.0,14913.0,4.0,Automatic,FWD,Gray
4861,Ford,Fusion,2015.0,Sedan,Hybrid,2.0,92404.0,4.0,Automatic,FWD,Red
39201,Toyota,Camry,2015.0,Sedan,Hybrid,2.5,21748.0,4.0,Automatic,FWD,Gray
46414,Toyota,Avalon,2015.0,Sedan,Hybrid,2.5,39548.0,4.0,Automatic,FWD,White
1176,Mitsubishi,Colt,2014.0,Hatchback,Petrol,2.0,84901.0,4.0,Automatic,FWD,Silver
12231,Hyundai,Elantra,2013.0,Coupe,Petrol,1.8,47846.0,6.0,Manual,FWD,Beige
5802,Toyota,Prius,2007.0,Hatchback,Hybrid,1.5,86992.0,4.0,Automatic,FWD,Green
1882,Toyota,Prius,2017.0,Sedan,Hybrid,1.8,29622.0,4.0,Automatic,FWD,White
27284,Toyota,Camry,2014.0,Sedan,Petrol,2.5,32312.0,4.0,Automatic,FWD,Black
21639,Subaru,Forester,2016.0,SUV,Petrol,2.5,21127.0,4.0,Automatic,AWD,White
7840,Mercedes-Benz,E-Class,1998.0,Sedan,Petrol,2.0,111849.0,4.0,Manual,RWD,Black
24198,Hyundai,Tucson,2013.0,SUV,Diesel,2.0,77051.0,4.0,Automatic,FWD,Silver
25365,Honda,Fit,2013.0,Hatchback,Petrol,1.5,21551.0,4.0,Automatic,FWD,Gray
17249,Toyota,Prius,2012.0,Sedan,Hybrid,1.8,13919.0,4.0,Automatic,FWD,White
12720,Chevrolet,Cruze,2011.0,Sedan,Petrol,1.8,84357.0,4.0,Automatic,FWD,Gray
26372,Hyundai,Tucson,2013.0,SUV,Diesel,2.0,74897.0,4.0,Automatic,FWD,Silver
627,Toyota,C-HR,2019.0,SUV,Petrol,2.0,15124.0,4.0,Automatic,FWD,Blue
9565,Hyundai,Sonata,2015.0,Sedan,Petrol,2.0,26098.0,4.0,Automatic,FWD,Orange
24302,Chevrolet,Malibu,2015.0,Sedan,Diesel,2.0,37667.0,4.0,Automatic,FWD,Black
1960,Nissan,Altima,2014.0,Sedan,Petrol,2.5,79485.0,4.0,Automatic,FWD,Red
24148,Toyota,Prius,2013.0,Hatchback,Hybrid,1.8,73322.0,4.0,Automatic,FWD,Blue
18817,Hyundai,Elantra,2015.0,Sedan,Petrol,1.8,52817.0,4.0,Automatic,FWD,Black
10349,Lexus,CT 200h,2014.0,Hatchback,Hybrid,1.8,82371.0,4.0,Automatic,FWD,Red
25089,Toyota,Camry,2013.0,Sedan,Petrol,2.5,82519.0,6.0,Automatic,RWD,Blue
18669,Hyundai,H1,2011.0,Van,Diesel,2.5,32738.0,4.0,Automatic,FWD,Silver
10660,Honda,Fit,2014.0,Hatchback,Hybrid,1.5,47551.0,4.0,Automatic,FWD,Blue
37000,Hyundai,Tucson,2016.0,SUV,Diesel,2.0,49710.0,4.0,Automatic,FWD,Silver
22649,Hyundai,Tucson,2011.0,SUV,Diesel,2.0,88235.0,4.0,Automatic,FWD,White
16590,Hyundai,H1,2011.0,Van,Diesel,2.5,26356.0,4.0,Automatic,FWD,White
31988,Toyota,Camry,2014.0,Sedan,Hybrid,2.5,31690.0,4.0,Automatic,FWD,Gray
21012,Toyota,Camry,2015.0,Sedan,Hybrid,2.5,55303.0,4.0,Automatic,FWD,Silver
10663,Honda,Fit,2014.0,Hatchback,Hybrid,1.5,70837.0,4.0,Automatic,FWD,White
40769,Toyota,RAV4,2017.0,SUV,Petrol,2.5,47225.0,4.0,Automatic,AWD,Black
14113,Volkswagen,Jetta,2011.0,Sedan,Petrol,2.5,97431.0,4.0,Automatic,FWD,Blue
12777,Hyundai,Sonata,2013.0,Sedan,Petrol,2.0,101009.0,4.0,Automatic,FWD,Black
18817,Toyota,Prius C,2013.0,Hatchback,Hybrid,1.5,80779.0,4.0,Automatic,FWD,Red
23521,Toyota,Camry,2012.0,Sedan,Hybrid,2.5,51574.0,4.0,Automatic,FWD,Silver
11133,Toyota,Camry,2014.0,Sedan,Hybrid,2.5,111463.0,4.0,Automatic,FWD,Black
7495,Chevrolet,Captiva,2008.0,SUV,Diesel,2.0,44420.0,4.0,Automatic,FWD,Black
4861,Lexus,CT 200h,2011.0,Hatchback,Hybrid,1.8,59397.0,4.0,Automatic,FWD,White
13485,Hyundai,Sonata,2015.0,Sedan,Petrol,2.0,44968.0,4.0,Automatic,FWD,Silver
3000,Subaru,Outback,2003.0,Van,Petrol,2.5,622.0,6.0,Automatic,AWD,Blue
627,Lexus,CT 200h,2012.0,Hatchback,Hybrid,1.8,119728.0,4.0,Automatic,FWD,White
14009,Toyota,Aqua,2015.0,Hatchback,Petrol,1.5,85346.0,4.0,Automatic,FWD,Silver
8311,Mercedes-Benz,GLA,2016.0,SUV,Petrol,2.0,68075.0,4.0,Automatic,FWD,White
23521,Toyota,Corolla,2014.0,Sedan,Petrol,1.8,24855.0,4.0,Automatic,FWD,Green
80911,Hyundai,H1,2019.0,Van,Diesel,2.5,15871.0,4.0,Automatic,FWD,Black
19369,Hyundai,Genesis,2011.0,Coupe,Petrol,2.0,95475.0,4.0,Automatic,FWD,Red
25299,Hyundai,Tucson,2012.0,SUV,Diesel,2.0,99420.0,4.0,Automatic,FWD,Gray
18817,Toyota,Prius,2011.0,Sedan,Hybrid,1.8,99420.0,4.0,Automatic,FWD,Silver
61499,Hyundai,Tucson,2019.0,SUV,Diesel,2.0,757.0,4.0,Automatic,FWD,Blue
9879,Toyota,Aqua,2013.0,Hatchback,Hybrid,1.5,85128.0,4.0,Automatic,FWD,Silver
17249,Toyota,Prius,2011.0,Hatchback,Hybrid,1.8,87614.0,4.0,Automatic,FWD,Gray
51225,Hyundai,Sonata,2017.0,Sedan,Petrol,2.0,36297.0,4.0,Automatic,FWD,Silver
49798,Hyundai,Santa Fe,2015.0,SUV,Diesel,2.0,58133.0,4.0,Automatic,FWD,White
17249,Hyundai,Elantra,2013.0,Sedan,Petrol,1.8,40265.0,4.0,Automatic,FWD,Black
627,Hyundai,Elantra,2018.0,Sedan,Petrol,2.0,29388.0,4.0,Automatic,FWD,Black
15367,Toyota,Prius,2009.0,Hatchback,Hybrid,1.8,108119.0,4.0,Automatic,FWD,Blue
5600,BMW,3 Series,1996.0,Sedan,Petrol,1.8,622.0,4.0,Manual,RWD,Gray
36827,Hyundai,H1,2017.0,Wagon,Diesel,2.5,85128.0,4.0,Automatic,FWD,White
18688,Hyundai,Santa Fe,2011.0,SUV,Diesel,2.0,88960.0,4.0,Automatic,FWD,Gray
11917,Chevrolet,Orlando,2012.0,SUV,Diesel,2.0,49554.0,4.0,Automatic,FWD,Silver
18817,Toyota,Camry,2018.0,Sedan,Hybrid,2.5,21785.0,4.0,Automatic,FWD,White
13808,Hyundai,Sonata,2016.0,Sedan,Petrol,2.0,23741.0,4.0,Automatic,FWD,White
16151,Toyota,Prius,2012.0,Hatchback,Hybrid,1.8,68966.0,4.0,Automatic,FWD,Silver
22947,Hyundai,Tucson,2010.0,SUV,Diesel,2.0,106469.0,4.0,Automatic,FWD,Gray
7840,Lexus,CT 200h,2013.0,Hatchback,Hybrid,1.8,41004.0,4.0,Automatic,FWD,Silver
25089,Toyota,Camry,2014.0,Sedan,Petrol,2.5,77672.0,4.0,Automatic,FWD,Gray
5488,Toyota,Camry,2014.0,Sedan,Hybrid,2.5,68226.0,4.0,Automatic,FWD,White
1725,Hyundai,Elantra,2014.0,Sedan,Petrol,1.8,66584.0,4.0,Automatic,FWD,Black
549,Hyundai,Elantra,2014.0,Sedan,Petrol,1.8,87043.0,4.0,Automatic,FWD,Black
10976,Toyota,Corolla,2014.0,Sedan,Hybrid,1.5,62138.0,4.0,Automatic,FWD,Silver
21285,Toyota,Aqua,2013.0,Hatchback,Petrol,1.5,32622.0,4.0,Automatic,FWD,Blue
862,Ford,Fusion,2014.0,Sedan,Hybrid,2.0,115605.0,4.0,Automatic,FWD,Black
19130,Audi,A4,2010.0,Sedan,Petrol,2.0,104391.0,4.0,Automatic,AWD,Silver
8781,Toyota,Prius C,2012.0,Hatchback,Hybrid,1.5,108740.0,4.0,Automatic,FWD,Black
706,Toyota,Prius,2013.0,Hatchback,Hybrid,1.8,65448.0,4.0,Automatic,FWD,White
22580,Toyota,Prius,2014.0,Sedan,Hybrid,1.8,99420.0,4.0,Automatic,FWD,Black
4861,Toyota,Camry,2013.0,Sedan,Hybrid,2.5,85042.0,4.0,Automatic,FWD,Blue
1800,Volkswagen,Golf,1998.0,Hatchback,Petrol,1.8,18642.0,4.0,Automatic,FWD,Red
4861,Ford,Fusion,2014.0,Sedan,Hybrid,2.0,85332.0,4.0,Automatic,FWD,Silver
17876,Toyota,C-HR,2019.0,SUV,Petrol,2.0,12408.0,4.0,Automatic,FWD,White
15257,Hyundai,Sonata,2011.0,Sedan,Petrol,2.0,101516.0,4.0,Automatic,FWD,Gray
10976,Nissan,X-Trail,2004.0,SUV,Petrol,2.0,75718.0,4.0,Automatic,AWD,Beige
22825,Chevrolet,Orlando,2012.0,SUV,Diesel,2.0,85397.0,4.0,Automatic,FWD,White
16935,Lexus,CT 200h,2015.0,Hatchback,Hybrid,1.8,58999.0,4.0,Automatic,FWD,White
9565,Honda,Civic,2017.0,Sedan,Petrol,1.5,36215.0,4.0,Automatic,FWD,White
12544,Volkswagen,Jetta,2010.0,Sedan,Petrol,2.5,68351.0,4.0,Automatic,FWD,Silver
44247,Hyundai,Santa Fe,2015.0,SUV,Diesel,2.0,95666.0,4.0,Automatic,FWD,White
11917,Toyota,Prius,2008.0,Sedan,Hybrid,1.8,124275.0,4.0,Automatic,FWD,Gray
9408,Toyota,Prius,2007.0,Hatchback,Hybrid,1.5,70215.0,4.0,Automatic,FWD,Blue
23834,Toyota,Corolla,2016.0,Hatchback,Petrol,1.8,63691.0,4.0,Automatic,FWD,White
22894,Toyota,Camry,2013.0,Sedan,Petrol,2.5,62759.0,4.0,Automatic,FWD,Black
18189,Hyundai,Elantra,2012.0,Sedan,Petrol,1.8,84507.0,4.0,Automatic,FWD,Black
10976,Honda,Fit,2014.0,Hatchback,Hybrid,1.5,75186.0,4.0,Automatic,FWD,Silver
40769,Toyota,RAV4,2016.0,SUV,Petrol,2.5,61641.0,4.0,Automatic,AWD,Black
7840,Mercedes-Benz,C-Class,2000.0,Sedan,Petrol,2.0,84507.0,4.0,Automatic,RWD,Blue
51746,Toyota,RAV4,2017.0,SUV,Petrol,2.5,21409.0,4.0,Automatic,FWD,Red
14081,Hyundai,H1,2010.0,Van,Diesel,2.5,77579.0,4.0,Automatic,FWD,White
706,Audi,A4,2014.0,Sedan,Petrol,2.0,100682.0,4.0,Automatic,FWD,Black
14740,Toyota,Prius,2011.0,Hatchback,Hybrid,1.8,100041.0,4.0,Automatic,FWD,Blue
59586,Toyota,RAV4,2017.0,SUV,Petrol,2.5,19884.0,6.0,Automatic,FWD,White
18817,Toyota,Prius,2016.0,Sedan,Hybrid,1.8,49710.0,4.0,Automatic,FWD,Gray
45376,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,68007.0,4.0,Automatic,FWD,White
15681,Toyota,RAV4,2002.0,SUV,Petrol,2.0,86992.0,4.0,Manual,AWD,Silver
6800,BMW,5 Series,2000.0,Sedan,Petrol,2.5,97556.0,6.0,Manual,RWD,Blue
44247,Hyundai,H1,2016.0,Wagon,Diesel,2.5,32207.0,4.0,Automatic,FWD,Gray
7213,Mitsubishi,Pajero iO,1998.0,SUV,Petrol,1.8,124275.0,4.0,Automatic,AWD,Silver
6586,Audi,A4,2014.0,Sedan,Petrol,2.0,76827.0,4.0,Automatic,AWD,Blue
47042,Audi,Q5,2017.0,SUV,Petrol,2.0,46719.0,4.0,Automatic,AWD,Black
2666,Hyundai,Elantra,2013.0,Coupe,Petrol,1.8,55900.0,4.0,Automatic,FWD,Blue
87497,Toyota,Camry,2019.0,Sedan,Petrol,2.5,15535.0,4.0,Automatic,FWD,White
5018,Toyota,Camry,2013.0,Sedan,Hybrid,2.5,118402.0,4.0,Automatic,FWD,Black
5018,Toyota,Camry,2013.0,Sedan,Hybrid,2.5,118402.0,4.0,Automatic,FWD,Black
14113,Ford,Focus,2012.0,Hatchback,Petrol,2.0,1251.0,4.0,Automatic,FWD,Black
17249,Hyundai,Sonata,2011.0,Sedan,Petrol,2.0,44739.0,4.0,Automatic,FWD,Silver
36235,Honda,Civic,2013.0,Sedan,Petrol,1.8,54060.0,4.0,Automatic,FWD,Blue
21699,Chevrolet,Malibu,2012.0,Sedan,Petrol,2.0,40393.0,4.0,Automatic,FWD,Silver
25299,Hyundai,Tucson,2011.0,SUV,Diesel,2.0,83458.0,4.0,Automatic,FWD,Black
19124,Honda,Fit,2013.0,Hatchback,Hybrid,1.5,58720.0,4.0,Automatic,FWD,Red
7213,BMW,5 Series,1998.0,Sedan,Petrol,2.5,62138.0,6.0,Manual,RWD,Silver
11917,Chevrolet,Captiva,2010.0,SUV,Diesel,2.0,38048.0,4.0,Automatic,FWD,White
18503,Hyundai,Elantra,2013.0,Sedan,Petrol,1.8,72701.0,4.0,Automatic,FWD,Gray
14113,Toyota,Aqua,2012.0,Hatchback,Hybrid,1.5,69042.0,4.0,Automatic,FWD,Green
1019,Mercedes-Benz,GLA,2015.0,SUV,Petrol,2.0,23480.0,4.0,Automatic,AWD,White
5488,Hyundai,Elantra,2019.0,Sedan,Petrol,2.0,18328.0,4.0,Automatic,FWD,Black
18817,Toyota,Prius,2012.0,Hatchback,Hybrid,1.8,622.0,4.0,Automatic,FWD,Gray
7997,Volkswagen,Jetta,2003.0,Sedan,Petrol,2.0,85128.0,4.0,Manual,FWD,Black
38888,Toyota,RAV4,2017.0,SUV,Petrol,2.5,31069.0,4.0,Automatic,AWD,Gray
17092,Hyundai,Elantra,2016.0,Sedan,Petrol,2.0,44668.0,4.0,Automatic,FWD,Silver
34497,Nissan,Rogue,2017.0,SUV,Petrol,2.0,14913.0,6.0,Automatic,FWD,White
14426,Hyundai,Elantra,2011.0,Sedan,Petrol,1.8,121292.0,4.0,Automatic,FWD,White
6144,Chevrolet,Captiva,2007.0,SUV,Diesel,2.0,42300.0,4.0,Automatic,FWD,Silver
1333,Ford,Focus,2018.0,Sedan,Petrol,2.0,66900.0,4.0,Automatic,FWD,Black
1960,Lexus,ES 350,2013.0,Sedan,Hybrid,2.5,54651.0,4.0,Automatic,FWD,Silver
26030,Chevrolet,Volt,2017.0,Hatchback,Hybrid,1.5,32350.0,4.0,Automatic,FWD,Blue
8781,Toyota,Ist,2002.0,Hatchback,Petrol,1.5,72701.0,4.0,Automatic,AWD,Red
8624,Chevrolet,Cruze,2012.0,Sedan,Diesel,2.0,38929.0,4.0,Automatic,FWD,White
21953,Hyundai,Elantra,2016.0,Sedan,Petrol,1.8,48219.0,4.0,Automatic,FWD,White
15681,Ford,Focus,2015.0,Sedan,Petrol,2.0,55924.0,4.0,Automatic,FWD,Gray
21181,Hyundai,Tucson,2010.0,SUV,Diesel,2.0,104469.0,4.0,Automatic,FWD,Silver
31581,Hyundai,H1,2014.0,Van,Diesel,2.5,60207.0,4.0,Automatic,FWD,Silver
20385,Toyota,Prius,2013.0,Hatchback,Hybrid,1.8,83712.0,4.0,Automatic,FWD,Blue
2822,Toyota,Corolla,2019.0,Sedan,Petrol,1.8,24392.0,4.0,Automatic,FWD,White
16283,Hyundai,Sonata,2016.0,Sedan,Petrol,2.0,34316.0,4.0,Automatic,FWD,Black
27654,Hyundai,Tucson,2010.0,SUV,Diesel,2.0,52291.0,4.0,Automatic,FWD,Black
16123,Hyundai,Genesis,2010.0,Coupe,Petrol,2.0,76545.0,4.0,Automatic,FWD,Black
7683,Nissan,Tiida,2005.0,Sedan,Petrol,1.5,13049.0,4.0,Automatic,FWD,White
15681,Toyota,Corolla,2013.0,Sedan,Petrol,1.8,82519.0,4.0,Automatic,FWD,White
13642,Hyundai,H1,2009.0,Van,Diesel,2.5,46995.0,4.0,Automatic,FWD,Silver
17249,Hyundai,Elantra,2015.0,Sedan,Petrol,1.8,52376.0,4.0,Automatic,FWD,Black
11604,Ford,Focus,2012.0,Sedan,Petrol,2.0,42254.0,4.0,Automatic,FWD,White
10663,Hyundai,H1,2009.0,Van,Diesel,2.5,52967.0,4.0,Automatic,FWD,White
20278,Chevrolet,Malibu,2013.0,Sedan,Petrol,2.0,97348.0,4.0,Automatic,FWD,Black
15367,Nissan,Rogue,2010.0,SUV,Petrol,2.5,93206.0,4.0,Automatic,FWD,Black
15524,Hyundai,Tucson,2013.0,SUV,Diesel,2.0,32500.0,4.0,Automatic,FWD,Silver
34607,Hyundai,H1,2014.0,Van,Diesel,2.5,16778.0,4.0,Automatic,FWD,Silver
14113,Toyota,Prius,2010.0,Hatchback,Hybrid,1.8,105012.0,4.0,Automatic,FWD,Silver
10506,Toyota,Aqua,2014.0,Sedan,Hybrid,1.5,54060.0,4.0,Automatic,FWD,White
18189,BMW,3 Series,2012.0,Sedan,Petrol,2.0,88330.0,4.0,Automatic,RWD,Black
16308,Audi,other,2016.0,SUV,Petrol,2.0,1067.0,4.0,Automatic,AWD,Black
44558,Hyundai,Santa Fe,2016.0,SUV,Diesel,2.0,74774.0,4.0,Automatic,FWD,Black
38445,Hyundai,Tucson,2016.0,SUV,Diesel,2.0,58756.0,4.0,Automatic,FWD,White
9722,Nissan,Tiida,2005.0,Hatchback,Petrol,1.5,60273.0,4.0,Automatic,FWD,Silver
9722,Toyota,Aqua,2012.0,Hatchback,Hybrid,1.5,66487.0,4.0,Automatic,FWD,Blue
43905,Toyota,RAV4,2016.0,SUV,Petrol,2.5,41632.0,4.0,Automatic,AWD,White
